Area,Construction,Room,Warehouse,Parking,Elevator,Address,Price
136,1390,3,True,False,False,۱ ساعت پیش در تهران، الهیه,۳۱٬۲۵۰٬۰۰۰٬۰۰۰ تومان
110,1385,2,True,True,True,۱ ساعت پیش در تهران، تهرانپارس غربی,۸٬۲۰۰٬۰۰۰٬۰۰۰ تومان
156,1391,3,True,True,True,۱ ساعت پیش در تهران، پونک,۱۱٬۴۰۰٬۰۰۰٬۰۰۰ تومان
101,1401,2,True,True,True,۱ ساعت پیش در تهران، دریاچه شهدای خلیج فارس,۱٬۹۰۰٬۰۰۰٬۰۰۰ تومان
120,1401,3,True,True,True,۱ ساعت پیش در تهران، چیتگر,۱٬۳۰۰٬۰۰۰٬۰۰۰ تومان
65,1396,1,True,True,True,۱ ساعت پیش در تهران، پونک,۶٬۴۰۰٬۰۰۰٬۰۰۰ تومان
108,1401,2,True,True,True,۱ ساعت پیش در تهران، نیلوفر، خیابان عرب علی (بزرگراه حقانی),۱۵٬۱۹۰٬۰۰۰٬۰۰۰ تومان
Area,Construction,Room,Warehouse,Parking,Elevator,Address,Price
57,1382,2,False,True,True,۱ ساعت پیش در تهران، سازمان برنامه,۵٬۲۰۰٬۰۰۰٬۰۰۰ تومان
105,1385,2,True,True,True,۱ ساعت پیش در تهران، میرداماد,۱۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان
164,1388,3,True,True,True,۱ ساعت پیش در تهران، قیطریه,۱۹٬۶۸۰٬۰۰۰٬۰۰۰ تومان
135,1401,2,True,True,True,۱ ساعت پیش در تهران، نیاوران,۲۱٬۷۵۰٬۰۰۰٬۰۰۰ تومان
150,1396,3,True,True,True,۱ ساعت پیش در تهران، فرمانیه,۲۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان
130,1401,3,True,True,True,۱ ساعت پیش در تهران، سوهانک,۱۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان
230,1395,3,True,True,True,۱ ساعت پیش در تهران، فرمانیه,۳۱٬۵۰۰٬۰۰۰٬۰۰۰ تومان
128,1401,2,True,True,True,۱ ساعت پیش در تهران، نیاوران,۱۶٬۰۰۰٬۰۰۰٬۰۰۰ تومان
53,1383,1,True,True,True,۱ ساعت پیش در تهران، کوی فردوس,۴٬۴۰۰٬۰۰۰٬۰۰۰ تومان
320,1401,3,True,True,True,۱ ساعت پیش در تهران، الهیه,۱۲۱٬۶۰۰٬۰۰۰٬۰۰۰ تومان
420,1401,4,True,True,True,۱ ساعت پیش در تهران، الهیه,۱۵۱٬۲۰۰٬۰۰۰٬۰۰۰ تومان
77,1382,2,False,True,True,۱ ساعت پیش در تهران، پونک,۵٬۹۸۰٬۰۰۰٬۰۰۰ تومان
110,1401,3,True,True,True,۱ ساعت پیش در تهران، جیحون,۶٬۵۰۰٬۰۰۰٬۰۰۰ تومان
78,1384,2,False,True,True,۱ ساعت پیش در تهران، جنت‌آباد جنوبی,۶٬۳۹۰٬۰۰۰٬۰۰۰ تومان
75,1393,2,True,True,True,۱ ساعت پیش در تهران، تهران‌سر,۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان
61,1400,1,True,False,True,۱ ساعت پیش در تهران، استاد معین,۳٬۹۰۰٬۰۰۰٬۰۰۰ تومان
102,1384,2,True,False,True,۱ ساعت پیش در تهران، پونک، بلوار فکوری (خ. زیتون),۸٬۰۰۰٬۰۰۰٬۰۰۰ تومان
120,1401,2,True,True,True,۱ ساعت پیش در تهران، میرداماد,۲۱٬۶۰۰٬۰۰۰٬۰۰۰ تومان
180,1394,3,True,True,True,۱ ساعت پیش در تهران، چیتگر,۱۱٬۶۸۰٬۰۰۰٬۰۰۰ تومان
75,1390,2,True,True,True,۱ ساعت پیش در تهران، اختیاریه، خیابان منظریه (خ. رحمانی),۱۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان
135,1401,3,True,True,True,۱ ساعت پیش در تهران، اختیاریه، خیابان اختیاریه شمالی,۱۶٬۸۵۰٬۰۰۰٬۰۰۰ تومان
68,1383,1,False,True,True,۱ ساعت پیش در تهران، طیب,۲٬۵۶۰٬۰۰۰٬۰۰۰ تومان
180,1401,3,True,True,True,۱ ساعت پیش در تهران، ستارخان,۱۷٬۰۰۰٬۰۰۰٬۰۰۰ تومان
